"state","saledate","trim","transmission","vin","sellingprice"
"tx","Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)","XLT","automatic","1ftfw1cf0bfa74856",15200
"pa","Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","SE","automatic","5n1ed28t34c662448",2200
"fl","Thu Jan 22 2015 01:45:00 GMT-0800 (PST)","L","manual","2t1bu4ee8dc036197",11100
"pa","Fri Feb 27 2015 01:00:00 GMT-0800 (PST)","LT1","","2cnfleec6b6286203",14200
"ca","Tue Feb 17 2015 04:30:00 GMT-0800 (PST)","LX","automatic","5xxgm4a72dg217947",13250
"tx","Tue Feb 17 2015 02:30:00 GMT-0800 (PST)","LE","automatic","jtdktud38dd551920",6300
"fl","Thu Feb 26 2015 01:35:00 GMT-0800 (PST)","i Sport","automatic","jm3er2wm2a0322830",9100
"ca","Tue Jan 13 2015 12:30:00 GMT-0800 (PST)","+","automatic","kndjt2a62c7416086",8200
"ca","Thu Feb 19 2015 04:00:00 GMT-0800 (PST)","330i","automatic","wbaev534x4km36607",5600
"il","Thu May 07 2015 03:00:00 GMT-0700 (PDT)","Limited","automatic","2fmdk4kc8dbc30511",8500
"oh","Tue Jan 06 2015 01:30:00 GMT-0800 (PST)","LX","automatic","5xxgm4a7xeg303265",15000
"tx","Thu Feb 19 2015 02:30:00 GMT-0800 (PST)","Limited","automatic","1fmcu0e70ckc64881",18700
"nv","Fri Jun 19 2015 04:55:00 GMT-0700 (PDT)","CLS500","automatic","wdddj75x86a026819",12500
"ca","Thu Feb 05 2015 04:00:00 GMT-0800 (PST)","GTP","automatic","2g2wr524141119638",1300
"tx","Wed Jan 07 2015 10:20:00 GMT-0800 (PST)","335is","automatic","wbakg1c57be618579",31000
"ca","Thu Feb 05 2015 03:30:00 GMT-0800 (PST)","XL","automatic","1ftnf1cf0ekd17217",18500
"nj","Wed Jan 07 2015 09:30:00 GMT-0800 (PST)","3.5 SV","","1n4aa51e99c850137",9750
"fl","Tue Dec 23 2014 09:30:00 GMT-0800 (PST)","Limited","automatic","1c3el65r53n536686",600
"in","Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)","SXT","automatic","3c4pdcbg9dt564396",14000
"ga","Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)","2.5","automatic","1n4al2ap0cn506301",14800
"ca","Thu Jan 29 2015 04:30:00 GMT-0800 (PST)","T5","automatic","yv1612fs2e2293644",21750
"oh","Tue Jan 20 2015 01:30:00 GMT-0800 (PST)","S","automatic","2t1bu4eexdc978509",12000
"il","Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)","LT","automatic","1gnkvgkd7fj108127",29300
"ca","Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)","JX35","automatic","5n1al0mnxdc315728",31750
"ca","Thu Dec 18 2014 12:00:00 GMT-0800 (PST)","Tundra Grade","automatic","5tfem5f13ax001448",14600
"nj","Wed Jan 14 2015 01:30:00 GMT-0800 (PST)","SH-AWD w/Technology Package","automatic","19uua9f50ca003910",21700
"ca","Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)","EX-L","automatic","1hgcp2f82aa190740",12700
"fl","Thu Mar 05 2015 01:40:00 GMT-0800 (PST)","Base","automatic","2ckdl43fx96211333",9500
"nv","Fri Jan 16 2015 03:45:00 GMT-0800 (PST)","S","automatic","1fahp3e24cl324362",6500
"tx","Wed Feb 25 2015 02:20:00 GMT-0800 (PST)","SE","automatic","1n6aa07a54n544614",7300
"pa","Fri Jan 30 2015 01:00:00 GMT-0800 (PST)","SE","automatic","3fadp4ej2cm104518",8300
"pa","Thu May 28 2015 06:15:00 GMT-0700 (PDT)","LS","","1g11b5sa4df257529",9600
"nv","Fri Feb 13 2015 04:00:00 GMT-0800 (PST)","Hybrid","automatic","jhmfa3f22as007604",4900
"pa","Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","Base","","1fafp406x4f232566",3500
"il","Thu May 21 2015 03:00:00 GMT-0700 (PDT)","1LT","automatic","1g1pc5sb0e7233952",11500
"ne","Thu Dec 18 2014 12:00:00 GMT-0800 (PST)","SEL","automatic","3fadp4cj7cm216623",8000
"nc","Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)","LS","","1g1pa5sh6e7178451",9900
"tx","Thu May 07 2015 04:00:00 GMT-0700 (PDT)","Limited V6","automatic","5npeu46f18h360387",3200
"ne","Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)","Base","automatic","3vw2k7aj3cm373809",7400
"md","Tue Dec 30 2014 09:30:00 GMT-0800 (PST)","i","manual","jm1bk343771679827",6800
"ga","Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","SE","automatic","2b3lj44v59h591170",13500
"ga","Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","SLT","automatic","1d4hd48n96f132570",2000
"nc","Mon Dec 22 2014 09:00:00 GMT-0800 (PST)","Base","automatic","5n3aa08c16n810056",15300
"ga","Thu Feb 05 2015 02:00:00 GMT-0800 (PST)","535i","automatic","wbanw13598cz72155",9500
